ID	DAM	SIRE	SEX	BIRTHDATE
10428			F	19790411
10430			F	19790223
10591			M	19790331
10598	8632	?1	F	19790322
10600			M	19780722
10848			F	19800303
10966			M	19800505
11066			F	19791201
11072			F	19800101
11092			F	19800101
11095			F	19800601
11104			F	19791201
11106			F	19791201
11123			F	19800501
11137			F	19791201
11138			F	19790801
11158			F	19800701
11197			F	19800501
11209	8614	?2	M	19800201
11238			F	19800301
11239			F	19800301
11257			F	19800301
11278			F	19800601
11281			F	19800601
11282			F	19800401
11297			F	19800401
11298			F	19800401
11688			F	19810201
11690			F	19810101
11702			F	19810501
11705			F	19810401
11753			F	19810601
11762			F	19810301
11764			F	19810501
11767			F	19810301
11828			F	19810501
11837			F	19810601
11858			F	19810401
11896			F	19810301
11925			F	19810905
12204			F	19820601
12209	6526	?3	M	19820501
12235			F	19820401
12237			M	19820301
12238	8008	?4	M	19820401
12302			F	19790525
12329	8982	?5	M	19820501
12334	9097	?6	M	19820801
12342	8957	?7	M	19820301
12344			F	19820601
12361			F	19790510
12366			F	19790423
12374			F	19790320
12379			F	19820301
12385	8427	?8	M	19820601
12392			M	19820501
12411			M	19820601
12413	8468	?9	M	19820101
12428			F	19790817
12443			F	19780828
12452			F	19800319
12467			F	19790408
12478			F	19790507
12483			F	19780522
12573			F	19830315
12774			F	19830501
12832			F	19830601
12839			F	19830501
12854			M	
12858			M	
12860			M	
12885			F	19830301
12896			F	19830401
12923			F	19830401
12946			F	19830401
13194			F	19840606
13245			F	19840706
13314			F	19840101
13332			F	19840301
13361			F	19840401
13377			F	19840902
13378			F	19840902
13381			F	19840401
13382			F	19840401
13387			F	19840301
13388			F	19840301
13390			F	19840401
13392			F	19840401
13399	10428	3941	F	19840915
13418			F	19840401
13422			F	19840301
13426			F	19840301
13433	9189	?10	M	19840301
13443			F	19830301
13467			F	19840301
13470			F	19830501
13486			F	19830401
13487			F	19830501
13533			F	19840601
13534			F	19840301
13576			F	19850203
13666	11702	10966	F	19850504
13676			F	19850511
13685	11762	10600	F	19850521
13689			F	19850529
13701	11690	10600	F	19850603
13713			M	
13719			F	19850614
13802			F	19850601
13804	8619	?11	F	19850701
13807			F	19850713
13820	8472	?12	F	19850301
13831			F	19850401
13848			F	19850401
13849	9189	?13	M	19850401
13855			F	19841101
13856			F	19850725
13880	10848	?14	M	19850301
13893			F	19850804
13896			F	19850401
13898			F	19850501
13909	11104	?15	M	19850401
13918			F	19850401
13922			F	19850501
13923			F	19840901
13930			F	19850401
13931			F	19850401
13945			F	19850501
13947	11837	?16	F	19850401
13951			F	19850401
13972			F	19850801
13976			F	19850901
14024			F	19851114
14078			F	19860201
14132			F	19860414
14171			F	19860509
14207			F	19860603
14231			F	19860613
14236			F	19860617
14249			F	19860625
14276			F	19860301
14278			F	19860401
14282	11197	?17	F	19860401
14289			F	19860401
14315			F	19860601
14326	11828	?18	F	19860701
14329			F	19860701
14343			F	19860301
14359			F	19860401
14362			F	19860724
14374			F	19860301
14379			F	19860301
14446			F	19860401
14447			F	19860301
14451			F	19860401
14453			F	19860401
14456			F	19860301
14458			F	19860301
14466			F	19860401
14471			F	19860301
14472			F	19860401
14481			F	19860501
14487			F	19860401
14623			F	19870204
14624			F	19870204
14719			F	19870425
14728			F	19870501
14736	8982	?19	F	19870429
14879			F	19870515
14900			F	19870601
14928			F	19870601
14931	8327	?20	M	19870301
14939			F	19870301
14952			F	19870601
14954			F	19870701
14969			F	19870401
14985	12467	?21	M	19870501
14999			F	19870501
15009	9134	?22	F	19870601
15012			F	19870615
15030	11092	?23	M	19870501
15066	8272	7084	F	19870821
15073	7733	3163	F	19870910
15188	8321	9397	F	19880323
15242	11688	9397	F	19880430
15319	11137	12858	F	19880528
15324	12344	?24	F	19880401
15331			F	19880501
15337			F	19880201
15353	12452	?25	F	19880501
15366			F	19880401
15367			F	19880301
15376			F	19880301
15385			F	19880401
15388			F	19880601
15404			F	19880301
15416	13533	?26	M	19880501
15431			F	19880301
15441			F	19880201
15451			F	19880501
15452			F	19880601
15461			F	19880301
15468			M	19870901
15477			F	19880501
15485			F	19880401
15568			M	19881101
15572	12235	12342	F	19881111
15623	11705	6264	F	19890211
15759	9229	?27	F	19890501
15762	8385	?28	F	19890526
15797			F	19890601
15807	12443	?29	F	19890522
15869	13947	13433	F	19890401
15871			F	19890401
15873			F	19890401
15875	13848	?30	F	19890401
15888			F	19890401
15897			F	19890401
15901	13856	?31	F	19890601
15903			F	19890401
15906			F	19890401
15928			F	19890401
15929	11158	?32	M	19890501
15961	10598	12342	F	19890922
16060	11767	6267	F	19900322
16066	11925	12860	F	19900402
16142	10848	?33	F	19900515
16144	12366	?34	F	19900515
16146	14969	?35	F	19900605
16147	12478	?36	F	19900401
16148	12467	?37	M	19900501
16149	12428	?38	F	19900415
16151	12302	?39	F	19890625
16169	14451	?40	F	19900401
16172	14456	?41	F	19900401
16175	12483	10591	F	19900626
16176	14728	?42	F	19900401
16178	13804	?43	F	19900601
16180	14453	?44	F	19900601
16187	14359	?45	F	19900601
16190	13976	?46	F	19900401
16192			F	19900501
16193	14362	?47	F	19900601
16197	14132	?48	F	19900501
16200			F	19900401
16203	14326	?49	F	19900401
16206	14446	?50	F	19900401
16207	14329	?51	F	19900401
16209	14458	?52	F	19900401
16210			F	19900220
16212			F	19900222
16213	14289	?53	F	19900401
16218	14282	?54	F	19900401
16219			F	19900401
16223	13422	?55	F	19900401
16229			F	19900215
16242	13392	?56	M	19900215
16247	13361	?57	F	19900615
16249	13245	11209	F	19900215
16251	13390	?58	F	19900201
16260			F	19900215
16262	13418	?59	F	19900201
16265			F	19900201
16269			F	19900215
16277			F	19900401
16280			F	19900401
16285			F	19900401
16286			F	19900701
16295			F	19900220
16303			F	19900515
16304			F	19900715
16306	13701	?60	F	19900401
16308			F	19900220
16309			F	19900715
16319			F	19900701
16325	11072	?61	F	19900515
16327	11257	?62	M	19900715
16334			F	19900601
16339	11298	?63	M	19900720
16342	11239	?64	F	19900720
16412	13470	6264	M	19901225
16418	12204	8775	F	19901217
16425	8329	12342	F	19910124
16427	12235	8775	F	19910131
16445	8427	12413	M	19910322
16454	11858	10591	M	19910329
16456	12379	?65	F	19910403
16466			F	19910409
16474	13388	?66	F	19910329
16476	15451	?67	M	19910417
16479	14928	?68	F	19910423
16481	8408	?69	F	19910424
16485	14939	?70	F	19910501
16492			F	19910510
16493			F	19910508
16494	11688	9397	M	19910510
16510	14446	?71	F	19910505
16518	14282	?72	F	19910508
16524	14447	?73	F	19910415
16533	14078	?74	M	19910501
16538	14231	?75	M	19910415
16539	11896	8775	F	19910522
16569	13918	13849	M	19910401
16579			F	19910525
16599	9073	12329	F	19910615
16604	12361	13880	M	19910605
16609	13923	11209	M	19910225
16611	13467	?76	F	19910415
16614	12923	?77	F	19910325
16615	13534	?78	F	19910325
16617	12832	11209	F	19910415
16625			F	19910325
16629	13426	?79	M	19910325
16632	13418	?80	F	19910325
16635	12839	?81	F	19910415
16636			F	19910601
16640	13486	?82	M	19910325
16647	13382	?83	F	19910325
16658			F	19900815
16660	11197	?84	F	19910601
16663	11297	?85	M	19910401
16665			F	19910610
16674	11066	?86	F	19910410
16693			F	19900625
16695	9855	9397	M	19910723
16705	12443	?87	F	19910420
16707	12374	?88	F	19910515
16709	12366	?89	F	19910605
16715	12774	12334	F	19910729
16718	11753	12209	F	19910818
16732	11764	12342	F	19910924
16733	8607	12334	F	19910926
16801	12573	6264	F	19911229
16866			F	19810510
16950	11278	?90	F	19920401
16960			F	19920420
16998	15366	?91	F	19920528
17003	12344	12854	F	19920616
17009	15388	14931	F	19920624
17036	14024	?92	F	19920601
17039	14456	?93	F	19920215
17041	14487	?94	F	19920601
17042	14207	?95	F	19920620
17047	14458	?96	F	19920215
17056	14171	?97	F	19920210
17062	14282	?98	F	19920601
17063			F	19920620
17065	14249	?99	F	19920215
17069	14466	?100	F	19920201
17073	14451	?101	F	19920215
17088	12896	?102	F	19920401
17100	13381	?103	F	19920401
17101			F	19920301
17106	13533	?104	F	19920601
17107	13443	?105	F	19920401
17111	13387	?106	F	19920401
17112	13314	?107	F	19920301
17120	13487	?108	F	19920401
17127	14954	9397	F	19920730
17128	13719	12329	F	19920731
17140	13377	?109	F	19920415
17145	13951	?110	F	19920715
17166	13930	?111	F	19920501
17185			F	19920809
17187	14952	9397	F	19920812
17194	11238	?112	F	19920324
17197	11197	?113	F	19920501
17203	11066	?114	F	19920401
17205	11281	?115	F	19920401
17207	11095	?116	F	19920401
17279	14900	?117	F	19920701
17283	15367	?118	F	19920701
17285	15441	?119	F	19920701
17287	15353	13880	F	19920701
17289			F	19920701
17397	16866	12411	F	19930114
17410	15901	15416	F	19930204
17414	15572	13713	M	19930209
17422	13378	?120	M	19930221
17428	10430	12209	F	19930228
17469	13689	?121	F	19930406
17491	15461	14931	M	19930427
17492	13922	?122	M	19930408
17512			M	19820509
17513			M	19810101
17514			M	19840601
17516			M	19810101
17517			M	19810101
17523			M	19860101
17526			M	19880101
17528			M	19870101
17530			M	19860101
17538			F	19870101
17542			F	19870101
17563	15477	13713	M	19930601
17573	11106	?123	F	19930609
17582	15431	?124	F	19930510
17587			F	19930301
17591	15404	?125	F	19930423
17593	15871	?126	F	19930501
17596	15869	?127	F	19930515
17610	15906	?128	F	19930301
17615			F	19930515
17638			F	19930712
17644			M	19930401
17645	14276	?129	M	19930401
17648	14343	?130	F	19930401
17650	14374	?131	F	19930401
17651	14236	?132	F	19930401
17654	14278	?133	M	19930401
17656	14326	?134	F	19930705
17659			F	19930624
17661			F	19930401
17666	14458	?135	M	19930401
17673	14132	?136	M	19930401
17683	14481	?137	F	19930401
17686	15012	9316	F	19930715
17694	13194	?138	F	19930505
17695	13332	?139	F	19930401
17698			F	19930215
17705	13314	?140	F	19930505
17706	12885	?141	F	19930401
17708	14624	12385	F	19930729
17722	13820	12238	F	19930401
17738	13685	?142	M	19930401
17745	13807	?143	F	19930501
17751	13951	?144	M	19930501
17753	13666	13849	F	19930401
17766	8434	12860	F	19930828
17771	12946	12342	F	19931007
17775	14719	8696	F	19930919
17857	13533	12209	F	19940218
17874	8660	12342	F	19940310
17893	17542	13880	F	19940410
17943			F	19940502
17944	13576	?145	F	19940401
17953	16693	15929	F	19940512
17968	15928	13713	F	19940521
17973	16203	?146	M	19940415
17976	16149	?147	F	19940415
17979	16180	?148	F	19940415
17982	16334	?149	F	19940510
17985	16262	?150	M	19940501
17988	16176	?151	M	19940415
17992	16207	?152	M	19940415
17996	15762	15416	F	19940526
17998	14879	14931	F	19940529
18008	15461	14931	F	19940610
18022	11138	12342	F	19940610
18026	15188	14931	F	19940615
18034			F	19930701
18037			F	19940601
18057	15797	17514	F	19940622
18064	15376	?153	F	19940615
18065	15367	?154	M	19940401
18072	11702	6264	F	19940624
18087	16192	?155	F	19940701
18090	16285	?156	F	19940601
18095	16319	?157	F	19940501
18097	16200	?158	M	19940601
18100			F	19940501
18105	16286	?159	F	19940615
18110	16269	?160	F	19940501
18111	16303	?161	F	19940601
18112	16309	?162	F	19940601
18113	16304	?163	F	19940610
18115	16249	?164	F	19940601
18121	15623	15416	F	19940712
18122	14623	17516	F	19940712
18129	15485	15568	F	19940722
18133	14236	?165	F	19940401
18147	14276	?166	F	19940401
18149	14362	?167	F	19940401
18151	14471	?168	F	19940315
18156	14451	?169	F	19940401
18167	14379	?170	F	19940401
18175	14315	?171	F	19940401
18181	13831	12385	F	19940730
18200	13855	?172	F	19940501
18201	13377	?173	F	19940501
18205	13945	?174	F	19940501
18206	13676	?175	F	19940501
18208	13893	?176	F	19940315
18210	13896	?177	F	19940501
18213	13931	?178	F	19940615
18216	13972	?179	F	19940501
18219			M	19940501
18222	13802	?180	F	19940501
18239	17538	12392	F	19940907
18241	15337	17512	F	19940916
18355			F	19890101
18388	13898	?181	F	19950301
18421	13332	12413	F	19950310
18480	16625	12237	F	19950331
18506	11123	12342	F	19950413
18574	15319	17517	F	19950509
18587	8427	10591	M	19950515
18590	15759	15416	F	19950517
18599	11282	10591	M	19950522
18607	15759	15416	M	19950517
18608	16151	17514	F	19950523
18621			M	19860319
18628			M	19860428
18664	16636	?182	F	19950601
18666	16617	16339	M	19950501
18678	16175	16242	F	19950515
18684	16660	?183	F	19950501
18703	15461	14931	F	19950619
18722	15888	?184	F	19950601
18764	16223	?185	F	19950401
18769	16295	?186	F	19950401
18776	16280	?187	F	19950401
18781	16210	?188	F	19950401
18796	15385	14985	M	19950714
188-92			M	
18813	16251	?189	M	19950401
18815	16190	?190	F	19940601
18817	16262	?191	F	19950401
18818	16169	?192	M	19950401
18819	16187	?193	F	19950401
18823	16176	?194	F	19950401
18825			F	19950401
18831	16342	?195	F	19950301
18834	16197	?196	M	19950601
18835	16149	?197	M	19950401
18841	15807	?198	M	19950401
18843	16066	17523	M	19950401
18845	16229	?199	M	19950701
18852	16207	?200	F	19950401
18854	16203	17523	M	19950301
18875	14315	?201	F	19950401
18906	15073	17530	F	19950827
18917	13947	12209	F	19950926
18918	15897	17528	M	19950926
18953	12923	14985	F	19951121
19042	14472	?202	F	19960322
19089	15188	14931	F	19960423
19097	16492	15929	F	19960429
19147	15012	17516	M	19960601
19148	16485	15929	F	19960602
19150	17207	?203	F	19960501
19151	17036	16412	F	19960401
19160	17197	?204	F	19960501
19193	16481	16339	F	19950701
19198	16647	16327	F	19960620
19199	16418	16339	F	19960620
19204	16425	16327	F	19960401
19208	16456	16327	F	19960627
19211	15452	13880	F	19960627
19215	16539	15929	F	19960630
19230	15903	?205	F	19960401
19253	15073	17530	F	19960714
19259	15875	?206	F	19960301
19260	16190	17523	F	19960301
19262	16207	17523	F	19960301
19264	16709	17526	M	19960301
19268	16142	?207	M	19960401
19275	16209	17523	F	19960301
19276	16705	?208	M	19960301
19277	16247	?209	F	19960301
19281	?210	17523	F	19960301
19283	16251	?211	F	19960301
19296	16219	?212	M	19960401
19299	16308	?213	M	19960301
19301	16212	?214	M	19960301
19302	16285	?215	M	19960401
19303	16223	?216	M	19960615
19305	16306	?217	M	19960720
19308	16260	?218	M	19960507
19312	16277	?219	F	19960615
19314	16218	?220	M	19960401
19315	16206	15030	M	19960401
19319	14952	17530	F	19960812
19478	9789	11209	F	19961229
19499	18034	?221	F	19970126
19502	16474	15929	F	19970206
19510	17047	16533	M	19970221
19519	17279	16604	F	19970303
19559			F	19970401
19593	13804	12209	F	19970422
19652	16142	17526	F	19970401
19653	16147	17523	F	19970315
19655	16265	17523	F	19970301
19656	16599	?222	F	19970505
19657	16213	?223	F	19970415
19660	16180	17526	M	19970415
19678	16172	17523	F	19970501
19679	16262	17526	F	19970301
19680	16479	?224	F	19970415
19682	16715	15929	F	19970525
19692	16485	15929	F	19970603
19717			F	19970617
19727	16615	16242	F	19970301
19736	16493	16327	F	19970401
19737	16614	16327	F	19970501
19739	16427	16327	F	19970301
19742	16660	16327	F	19970501
19743	16611	16339	F	19970301
19761	15188	14931	F	19970628
19770	17145	16538	F	19970315
19771	17056	16538	F	19970401
19773	17106	16538	F	19970315
19774	17039	16538	F	19970501
19779	17207	16412	F	19970315
19780	17289	?225	F	19970220
19785	17194	16604	F	19970315
19787	17197	16538	M	19970401
19790	17041	16538	F	19970501
19791	17062	16494	F	19970315
19792	17069	16533	F	19970315
19793	17088	16476	F	19970315
19798	17166	?226	F	19970401
19799	16801	16538	F	19970711
19808	17651	?227	F	19970601
19810	17615	?228	F	19970401
19811	17587	?229	F	19970401
19812	17283	?230	F	19970401
19825	17009	?231	F	19970401
19826	16960	?232	F	19970401
19829	17656	?233	F	19970401
19834	17661	?234	F	19970401
19835	17650	?235	F	19970401
19837	17659	?236	F	19970401
19839	17063	?237	F	19970401
19840	17185	?238	F	19970401
19841	17698	?239	F	19970401
19855	17187	17517	M	19970826
19858			M	19900101
19961			F	19920707
19966			F	19880530
20016	15873	13909	M	19980302
20033	19961	?240	F	19980325
20042	17287	16476	F	19980315
20043	17203	16538	M	19980315
20044	17062	16445	F	19980315
20096			M	19920721
20154			F	19980502
20164	16632	16327	F	19980405
20166	16665	16629	F	19980430
20171	16614	16327	F	19980503
20176	16456	16327	F	19980401
20182	16474	15929	M	19980507
20186	16492	15929	M	19980511
20197	17069	16533	F	19980415
20202	17101	16445	M	19980301
20203	16950	16476	M	19980401
20205	17112	16533	F	19980301
20208	17056	16538	M	19980501
20214	17128	16609	F	19980301
20217	17065	16695	M	19980410
20218	17285	16454	F	19980415
20239			M	19980415
20245	17009	17673	M	19980415
20250	17127	?241	M	19980401
20263	16539	15929	M	19980606
20280	17982	18065	M	19980301
20300	18122	17973	F	19980501
20309	15331	17513	M	19980620
20324	16418	16327	M	19980601
20331	13399	12413	F	19980707
20333	16180	17526	F	19980501
20348			F	19980615
20350	16206	15468	F	19980515
20357	11138	13909	M	19980811
20370	16066	17523	F	19980501
20379	16060	17526	F	19980401
20380	16229	17526	F	19980401
20384	16187	17526	F	19980401
20389	16466	17523	F	19980301
20390	16203	17526	F	19980401
20439			F	19970315
20441			F	19970315
20452			F	19970315
20715	17538	18628	M	19990301
20729	17771	17422	F	19990225
20757	17708	17654	M	19990225
20758	?242	17422	M	19990330
20796	17127	17738	M	19990320
20965	18678	18854	F	19990514
21010	16718	16538	M	19980601
21016	17197	16538	M	19990301
21020	17207	16454	F	19990601
21021	17065	16609	M	19990301
21022	17111	16538	F	19990301
21026	17062	16695	F	19990401
21027	17088	16609	F	19990301
21029	17128	16538	F	19990501
21034	16518	16494	F	19990301
21036	17120	16538	F	19990201
21038	17166	16538	F	19990301
21039	17107	16538	F	19990301
21040	17140	16604	F	19990401
21041	17042	16445	F	19990301
21043	17279	16538	F	19990401
21056	18831	18854	M	19990615
21061	18167	18607	M	19990401
21077	18823	18854	M	19990301
21086	19193	18834	F	19990601
21089	18722	18854	M	19990301
21100	16146	16148	F	19990401
21116	17397	17973	F	19990401
21119	18129	17988	M	19990315
21124	17976	18097	F	19990401
21125	18210	18607	M	19990315
21130	18115	17973	F	19990701
21133	17979	18607	F	19990315
21137	17968	18607	F	19990701
21145	18213	17985	F	19990401
21175	16190	16629	F	19990401
21178	16147	16242	M	19990401
21179	16705	16242	F	19990401
21182	16247	16148	F	19990401
21188	16144	16327	F	19990501
21189	16178	16327	M	19990501
21190	16180	16629	F	19990401
21192	16707	16327	M	19990401
21193	15875	16339	F	19990401
21197	16229	16663	M	19990401
21204	16262	16327	M	19990401
21437	18037	17673	F	20000218
21484	18590	?243	M	20000328
