EGO ID,SIRE SIRE ID,DAM ID,SEX,BIRTH,EXIT
1N0117,,,F,,1973-08-23
1N0199,,,F,,9999999999
1N0225,,,M,,9999999999
1X0552,,,F,,1982-01-19
1N0098,,,M,1958-01-01,1973-12-03
1N0120,,,F,1958-01-01,1974-09-26
1_1979,,,M,1959-01-01,1989-06-05
1_0589,,,F,1961-01-01,1983-12-22
1_0431,,,F,1962-01-01,1986-11-12
1X0098,,,M,1965-01-01,1982-12-13
1X0110,,,F,1965-01-01,1989-03-05
1X0177,,,F,1965-01-01,1984-09-18
1X0576,,,F,1965-01-01,1989-03-17
1X0812,,,F,1965-01-01,1989-09-27
1X0102,,,M,1966-01-01,1990-10-04
1X0355,,,F,1966-01-01,1985-08-26
1X0014,,,F,1967-01-01,1991-05-22
1X0884,,,M,1967-01-01,1987-03-11
1X0964,,,F,1967-01-01,1979-01-29
1X1778,,,M,1967-01-01,1984-10-07
1C0055,,,F,1968-01-01,1985-05-08
1C0067,,,F,1968-01-01,1989-09-07
1X0153,,,F,1968-01-01,1991-05-02
1X0354,,,F,1968-01-01,1991-06-20
1X0356,,,F,1968-01-01,1989-05-01
1X0811,,,F,1968-01-01,1981-03-03
1X0842,,,F,1968-01-01,2001-03-02
1X0955,,,F,1968-01-01,1986-11-14
1X1288,,,F,1968-01-01,1984-02-09
1X2054,,,F,1968-01-01,1999-11-03
1C0059,,,F,1969-01-01,1988-08-10
1X0586,,,F,1969-01-01,1990-06-23
1X0830,,,F,1969-01-01,1992-05-29
1X0951,,,M,1969-01-01,1986-07-29
1X1125,,,F,1969-01-01,1992-04-29
1X1146,,,F,1969-01-01,1998-05-20
1X1773,,,M,1969-01-01,1984-09-26
1X1947,,,M,1969-01-01,1986-09-02
1C0246,,,F,1970-01-01,1988-05-08
1X0580,,,F,1970-01-01,1993-07-22
1X0832,,,M,1970-01-01,1992-09-11
1X1152,,,F,1970-01-01,1992-02-06
1X1155,,,F,1970-01-01,1998-12-24
1X1672,,,M,1970-01-01,1991-03-07
1X1765,,,M,1970-01-01,1995-03-21
1X2049,,,F,1970-01-01,1996-02-02
1X2631,,,F,1970-01-01,1995-06-19
1X2663,,,F,1970-01-01,1991-06-06
1C0187,,,F,1971-01-01,1998-10-20
1X0839,,,M,1971-01-01,1979-01-07
1X1126,,,M,1971-01-01,1993-05-27
1X2645,,,F,1971-01-01,1989-08-28
1X3255,,,F,1971-01-01,1998-10-01
1C0156,,,F,1972-01-01,1992-05-11
1C0256,,,F,1973-01-01,2001-11-02
1X2045,,,F,1973-01-01,1992-01-28
1X2697,,,F,1973-01-01,2005-06-13
1X4384,,,M,1973-01-01,1990-10-25
1X2622,,,F,1974-01-01,1984-07-09
1X2684,,,F,1974-01-01,2003-10-20
1X2891,,,M,1974-01-01,2001-12-19
1C0297,,,F,1975-01-01,1992-05-28
1C0358,,,F,1975-01-01,1996-03-22
1X3576,,,M,1975-01-01,1990-05-31
1C0374,,,F,1976-01-01,1992-08-03
1X4519,,,F,1979-01-01,2000-12-14
1X4811,,,M,1979-01-01,1995-03-02
1X4228,,,F,1982-05-04,2006-06-27
12376,,,F,1983-09-13,2005-10-14
1B0100,1N0098,1N0117,F,1967-10-16,1989-04-12
1A0776,1N0098,1N0120,M,1966-07-01,1983-12-22
1A0947,1N0225,1N0199,M,1967-03-20,1985-05-16
1X1614,1X0098,1X0153,F,1977-05-07,2003-02-04
1X1311,1X0098,1X0355,F,1976-09-21,1988-07-11
1X1309,1X0102,1X0177,M,1976-09-19,1994-04-26
1X2816,1X0832,1X0552,M,1979-02-13,1998-12-14
1X2124,1X0839,1X0812,F,1978-03-31,2005-06-27
1X4584,1X0884,1C0055,F,1984-01-04,2006-06-13
1X3097,1X0951,1X0955,F,1979-07-03,1994-03-03
1X2617,1X0951,1X0964,M,1978-12-15,1988-01-18
7199,1X1126,1X0580,F,1986-12-23,2002-06-26
8512,1X1126,1X0580,F,1988-11-02,2010-03-29
