"id","sire","dam","departure","sex","birth","death"
10167,NA,"1743","","Male","1979-03-04","1986-08-25"
10231,NA,"5543","1989-07-27","Female","1979-03-29",""
10232,NA,"7110","1982-04-27","Female","1979-03-30",""
10233,NA,"4060","","Female","1979-03-30","1979-03-30"
10238,NA,"1720","","Female","1979-04-02","1979-04-02"
10239,NA,"6405","1982-04-27","Female","1979-04-01",""
10245,NA,"6477","1982-04-27","Female","1979-04-06",""
10246,NA,"6770","","Female","1979-04-06","1979-04-07"
10259,NA,"6413","1982-04-27","Male","1979-04-12",""
10269,NA,"6345","","Female","1979-04-15","2004-08-26"
10275,NA,"6070","","Male","1979-04-19","1985-07-12"
10276,NA,"1740","","Male","1979-04-19","1986-09-08"
10283,NA,"5525","","Male","1979-04-20","1989-07-12"
10284,NA,"5564","","Female","1979-04-20","1989-07-25"
10285,NA,"6311","1982-04-27","Female","1979-04-20",""
10286,NA,"6053","1982-04-27","Male","1979-04-23",""
10293,NA,"4855","1982-04-27","Male","1979-04-25",""
10294,NA,"7121","1982-04-27","Female","1979-04-26",""
10295,NA,"6807","","Female","1979-04-26","1985-01-05"
10301,NA,"1750","","Male","1979-04-29","2002-05-31"
10302,NA,"4952","1982-04-27","Male","1979-04-29",""
10316,NA,"1724","1982-04-27","Female","1979-05-03",""
10317,NA,"4916","","Male","1979-05-03","1993-01-18"
10318,NA,"4079","1982-04-27","Female","1979-05-03",""
10321,NA,"4898","1982-04-27","Female","1979-05-06",""
10322,NA,"3232","","Male","1979-05-07","1989-07-12"
10323,NA,"7149","","Male","1979-05-08","1979-05-31"
10324,NA,"7131","1982-04-27","Female","1979-05-08",""
10325,NA,"7346","","Female","1979-05-08","1979-05-08"
10332,NA,"7049","","Female","1979-05-13","1989-07-25"
10333,NA,"6815","","Female","1979-05-15","1989-01-13"
10366,NA,"7804","","Male","1979-05-20","1979-05-20"
10367,NA,"7790","1982-04-27","Female","1979-05-20",""
10469,NA,"6804","1982-04-27","Male","1979-05-24",""
10470,NA,"3246","1995-10-10","Female","1979-05-30",""
10476,NA,"1726","1982-04-27","Male","1979-06-03",""
10477,NA,"7788","","Female","1979-06-05","1992-12-24"
10478,NA,"1752","1982-04-27","Female","1979-06-05",""
10480,NA,"7796","","Female","1979-06-06","1989-07-21"
10487,NA,"7097","1983-03-29","Male","1979-06-10",""
10488,NA,"6710","","Male","1979-06-11","1995-10-11"
10489,NA,"6789","1982-04-27","Male","1979-06-11",""
10490,NA,"7821","","Female","1979-06-12","1986-04-16"
10491,NA,"7789","1982-04-27","Female","1979-06-13",""
10492,NA,"7873","1982-04-27","Male","1979-06-13",""
10493,NA,"7792","","Unknown","1979-06-13","1979-06-13"
10494,NA,"7823","","Female","1979-06-14","1986-05-02"
10502,NA,"6778","1982-04-27","Female","1979-06-17",""
10503,NA,"5985","1982-04-27","Female","1979-06-17",""
10504,NA,"6301","1982-04-27","Male","1979-06-18",""
10505,NA,"1759","","Female","1979-06-18","2002-03-01"
10506,NA,"5517","","Female","1979-06-18","1994-11-02"
10541,NA,"1714","","Male","1979-06-27","1986-03-05"
10542,NA,"7907","","Unknown","1979-07-01","1979-07-09"
10545,NA,"7884","1982-04-27","Female","1979-07-01",""
10555,NA,"7875","1982-04-27","Female","1979-07-16",""
10850,NA,"1833","1982-04-27","Female","1980-03-03",""
10854,NA,"1720","1982-04-27","Female","1980-03-10",""
10859,NA,"2345","","Unknown","1980-03-13","1980-03-13"
10870,NA,"3213","","Male","1980-03-21","1982-11-10"
10876,NA,"3217","","Male","1980-03-25","1982-12-29"
10884,NA,"4893","","Female","1980-03-28","1984-11-21"
10885,NA,"3199","1982-04-27","Female","1980-03-28",""
10886,NA,"5970","","Female","1980-03-30","1994-11-30"
10888,NA,"6016","1982-04-27","Female","1980-04-01",""
10898,NA,"1720","1982-04-27","Female","1980-04-06",""
10899,NA,"6041","","Female","1980-04-07","1986-03-31"
10901,NA,"7072","","Male","1980-04-08","1985-09-03"
10902,NA,"6733","","Male","1980-04-09","1986-11-25"
10905,NA,"3202","1982-04-27","Male","1980-04-10",""
10908,NA,"6394","1982-04-27","Male","1980-04-10",""
10909,NA,"6693","1982-04-27","Male","1980-04-11",""
10910,NA,"7288","","Female","1980-04-11","1991-09-18"
10921,NA,"4912","","Female","1980-04-15","1980-07-15"
10929,NA,"4060","1982-04-27","Female","1980-04-21",""
10930,NA,"6770","","Female","1980-04-21","1980-04-21"
10953,NA,"3195","1995-10-10","Female","1980-04-26",""
10959,NA,"7799","","Male","1980-05-01","1980-05-01"
10967,NA,"6302","","Female","1980-05-03","1987-12-11"
10968,NA,"7829","1982-04-27","Male","1980-05-05",""
10971,NA,"6477","1982-04-27","Male","1980-05-05",""
10972,NA,"7907","","Female","1980-05-06","1987-06-18"
10973,NA,"7804","","Male","1980-05-07","1986-03-10"
10974,NA,"7110","1982-04-27","Female","1980-05-07",""
10979,NA,"4855","1982-04-27","Male","1980-05-09",""
10983,NA,"7778","","Male","1980-05-11","1985-08-13"
10984,NA,"7118","","Male","1980-05-11","1982-04-22"
10985,NA,"1724","1982-04-27","Female","1980-05-11",""
10986,NA,"7149","1982-04-27","Female","1980-05-12",""
10990,NA,"6736","","Female","1980-05-13","1985-02-27"
10991,NA,"1759","","Male","1980-05-14","1986-06-30"
10994,NA,"7792","","Male","1980-05-12","1987-10-19"
10995,NA,"6710","","Female","1980-05-13","1989-07-24"
10996,NA,"6451","","Female","1980-05-13","1982-12-08"
10997,NA,"7346","1982-04-27","Male","1980-05-15",""
10999,NA,"7850","","Female","1980-05-15","1994-11-05"
11000,NA,"7810","1982-04-27","Female","1980-05-16",""
11005,NA,"8281","1982-04-27","Female","1980-05-20",""
11006,NA,"4903","","Female","1980-05-21","1986-12-30"
11007,NA,"6799","","Unknown","1980-05-22","1980-05-22"
11008,NA,"8233","","Male","1980-05-23","1993-10-20"
11019,NA,"8147","","Male","1980-05-29","1980-06-21"
11023,NA,"4079","1982-04-27","Female","1980-06-03",""
11024,NA,"7774","","Male","1980-06-04","1986-09-29"
11027,NA,"8415","","Male","1980-06-05","1982-12-23"
11032,NA,"1714","","Female","1980-06-10","1994-10-27"
11033,NA,"7882","","Male","1980-06-11","1980-06-21"
11034,NA,"4916","","Female","1980-06-12","1986-11-10"
11036,NA,"8414","","Female","1980-06-19","1985-05-15"
11039,NA,"6815","","Male","1980-06-20","1986-07-01"
11041,NA,"1740","","Male","1980-06-26","1980-07-01"
11043,NA,"4987","","Male","1980-06-30","1983-10-26"
11047,NA,"5985","1982-04-27","Male","1980-07-02",""
11048,NA,"4255","","Male","1980-07-02","1980-07-02"
11111,NA,"8234","","Female","1980-07-08","1997-02-28"
11112,NA,"8239","","Female","1980-07-12","1989-03-21"
11201,NA,"8276","","Male","1980-07-21","1986-07-01"
11246,NA,"6413","1982-04-27","Female","1980-07-25",""
11249,NA,"8261","","Female","1980-08-04","1980-08-04"
11532,NA,"6405","1982-04-27","Male","1981-03-03",""
11535,NA,"6053","1982-04-27","Male","1981-03-08",""
11536,NA,"1750","","Female","1981-06-28","1987-01-06"
11545,NA,"2345","1982-04-27","Female","1981-03-18",""
11553,NA,"8231","","Male","1981-05-25","1984-11-01"
11554,NA,"5525","","Male","1981-04-11","1986-08-29"
11555,NA,"6789","","Male","1981-03-24","1981-03-24"
11556,NA,"4893","1995-10-10","Female","1981-06-29",""
11566,NA,"7789","1982-04-27","Male","1981-03-30",""
11570,NA,"","1982-04-27","Male","1981-04-07",""
11571,NA,"3213","","Female","1981-06-10","2008-03-20"
11572,NA,"7882","1982-04-27","Female","1981-04-09",""
11577,NA,"1717","","Female","1981-04-10","1981-06-07"
11578,NA,"6807","","Male","1981-04-10","1981-04-10"
11582,NA,"3232","1995-10-10","Male","1981-04-15",""
11583,NA,"7884","","Male","1981-04-11","1994-05-11"
11584,NA,"5564","","Male","1981-04-07","1987-10-19"
11585,NA,"7097","1982-04-27","Male","1981-04-12",""
11586,NA,"7788","","Female","1981-04-08","1990-10-09"
11587,NA,"7823","1982-04-27","Male","1981-04-12",""
11588,NA,"6775","","Female","1981-04-12","1987-06-11"
11589,NA,"6451","","Female","1981-06-07","1986-07-13"
11594,NA,"","1982-04-27","Male","1981-04-15",""
11595,NA,"","1982-04-27","Male","1981-04-16",""
11596,NA,"7126","","Unknown","1981-04-16","1981-05-07"
11602,NA,"7821","","Male","1981-04-19","1986-01-12"
11603,NA,"","1982-04-27","Female","1981-04-21",""
11604,NA,"8147","1982-04-27","Male","1981-04-22",""
11612,NA,"1833","","Female","1981-04-28","1981-08-20"
11613,NA,"1752","1982-04-27","Female","1981-04-28",""
11614,NA,"7072","","Female","1981-05-24","2000-01-31"
11618,NA,"6733","","Female","1981-05-23","1999-05-10"
11623,NA,"7778","","Male","1981-07-11","1997-10-22"
11624,NA,"5517","","Female","1981-05-05","1993-11-03"
11625,NA,"6804","1982-04-27","Male","1981-05-05",""
11626,NA,"3246","","Male","1981-04-17","1986-05-06"
11629,NA,"4903","","Unknown","1981-05-08","1981-05-08"
11630,NA,"6477","1982-04-27","Female","1981-05-08",""
11631,NA,"7799","","Unknown","1981-05-09","1981-05-09"
