Ego ID	Sire ID	Dam ID	Departure	Sex	Birth	Death
10167		1743		Male	1979-03-04	1986-08-25
10231		5543	1989-07-27	Female	1979-03-29	
10232		7110	1982-04-27	Female	1979-03-30	
10233		4060		Female	1979-03-30	1979-03-30
10238		1720		Female	1979-04-02	1979-04-02
10239		6405	1982-04-27	Female	1979-04-01	
10245		6477	1982-04-27	Female	1979-04-06	
10246		6770		Female	1979-04-06	1979-04-07
10259		6413	1982-04-27	Male	1979-04-12	
10269		6345		Female	1979-04-15	2004-08-26
10275		6070		Male	1979-04-19	1985-07-12
10276		1740		Male	1979-04-19	1986-09-08
10283		5525		Male	1979-04-20	1989-07-12
10284		5564		Female	1979-04-20	1989-07-25
10285		6311	1982-04-27	Female	1979-04-20	
10286		6053	1982-04-27	Male	1979-04-23	
10293		4855	1982-04-27	Male	1979-04-25	
10294		7121	1982-04-27	Female	1979-04-26	
10295		6807		Female	1979-04-26	1985-01-05
10301		1750		Male	1979-04-29	2002-05-31
10302		4952	1982-04-27	Male	1979-04-29	
10316		1724	1982-04-27	Female	1979-05-03	
10317		4916		Male	1979-05-03	1993-01-18
10318		4079	1982-04-27	Female	1979-05-03	
10321		4898	1982-04-27	Female	1979-05-06	
10322		3232		Male	1979-05-07	1989-07-12
10323		7149		Male	1979-05-08	1979-05-31
10324		7131	1982-04-27	Female	1979-05-08	
10325		7346		Female	1979-05-08	1979-05-08
10332		7049		Female	1979-05-13	1989-07-25
10333		6815		Female	1979-05-15	1989-01-13
10366		7804		Male	1979-05-20	1979-05-20
10367		7790	1982-04-27	Female	1979-05-20	
10469		6804	1982-04-27	Male	1979-05-24	
10470		3246	1995-10-10	Female	1979-05-30	
10476		1726	1982-04-27	Male	1979-06-03	
10477		7788		Female	1979-06-05	1992-12-24
10478		1752	1982-04-27	Female	1979-06-05	
10480		7796		Female	1979-06-06	1989-07-21
10487		7097	1983-03-29	Male	1979-06-10	
10488		6710		Male	1979-06-11	1995-10-11
10489		6789	1982-04-27	Male	1979-06-11	
10490		7821		Female	1979-06-12	1986-04-16
10491		7789	1982-04-27	Female	1979-06-13	
10492		7873	1982-04-27	Male	1979-06-13	
10493		7792		Unknown	1979-06-13	1979-06-13
10494		7823		Female	1979-06-14	1986-05-02
10502		6778	1982-04-27	Female	1979-06-17	
10503		5985	1982-04-27	Female	1979-06-17	
10504		6301	1982-04-27	Male	1979-06-18	
10505		1759		Female	1979-06-18	2002-03-01
10506		5517		Female	1979-06-18	1994-11-02
10541		1714		Male	1979-06-27	1986-03-05
10542		7907		Unknown	1979-07-01	1979-07-09
10545		7884	1982-04-27	Female	1979-07-01	
10555		7875	1982-04-27	Female	1979-07-16	
10850		1833	1982-04-27	Female	1980-03-03	
10854		1720	1982-04-27	Female	1980-03-10	
10859		2345		Unknown	1980-03-13	1980-03-13
10870		3213		Male	1980-03-21	1982-11-10
10876		3217		Male	1980-03-25	1982-12-29
10884		4893		Female	1980-03-28	1984-11-21
10885		3199	1982-04-27	Female	1980-03-28	
10886		5970		Female	1980-03-30	1994-11-30
10888		6016	1982-04-27	Female	1980-04-01	
10898		1720	1982-04-27	Female	1980-04-06	
10899		6041		Female	1980-04-07	1986-03-31
10901		7072		Male	1980-04-08	1985-09-03
10902		6733		Male	1980-04-09	1986-11-25
10905		3202	1982-04-27	Male	1980-04-10	
10908		6394	1982-04-27	Male	1980-04-10	
10909		6693	1982-04-27	Male	1980-04-11	
10910		7288		Female	1980-04-11	1991-09-18
10921		4912		Female	1980-04-15	1980-07-15
10929		4060	1982-04-27	Female	1980-04-21	
10930		6770		Female	1980-04-21	1980-04-21
10953		3195	1995-10-10	Female	1980-04-26	
10959		7799		Male	1980-05-01	1980-05-01
10967		6302		Female	1980-05-03	1987-12-11
10968		7829	1982-04-27	Male	1980-05-05	
10971		6477	1982-04-27	Male	1980-05-05	
10972		7907		Female	1980-05-06	1987-06-18
10973		7804		Male	1980-05-07	1986-03-10
10974		7110	1982-04-27	Female	1980-05-07	
10979		4855	1982-04-27	Male	1980-05-09	
10983		7778		Male	1980-05-11	1985-08-13
10984		7118		Male	1980-05-11	1982-04-22
10985		1724	1982-04-27	Female	1980-05-11	
10986		7149	1982-04-27	Female	1980-05-12	
10990		6736		Female	1980-05-13	1985-02-27
10991		1759		Male	1980-05-14	1986-06-30
10994		7792		Male	1980-05-12	1987-10-19
10995		6710		Female	1980-05-13	1989-07-24
10996		6451		Female	1980-05-13	1982-12-08
