"id","dam_id","sire_id","sex","birth_date"
"6609","1X0837","1X3162","M","1986-02-02"
"6625","1C0067",NA,"F","1986-02-11"
"6704",NA,NA,"F","1979-01-01"
"6716","1X1614","1X2816","M","1986-03-11"
"7017","1X1237","1X1672","F","1986-09-22"
"7150","1C0323",NA,"F","1986-11-11"
"7478","1X0842","1X4384","F","1987-05-01"
"7735","1X2664","1X1765","M","1987-10-13"
"7852","1C0249",NA,"F","1987-11-23"
"7937","1X1615","1X3818","M","1987-12-30"
"8143","1C0819",NA,"F","1988-03-21"
"8149","1C0067",NA,"F","1988-03-25"
"8344","1X4045","1X1309","M","1988-07-18"
"8465","1X3740","1X3026","M","1988-10-04"
"8499","1X0837","1X3162","F","1988-10-25"
"8512","1X0580","1X1126","F","1988-11-02"
"8601","1X2825","1X1672","M","1988-12-11"
"8624","1X3469","3X0023","F","1988-12-15"
"8653","1X2716","1X1672","M","1988-12-31"
"8778","1X2663","1X1765","F","1989-02-11"
"8780","1X3592","1X4384","M","1989-02-13"
"8822","1X1032",NA,"F","1989-02-26"
"8826","1X1577","1X2816","F","1989-03-01"
"8846","1C0143",NA,"F","1989-03-14"
"9129","1X3445","1X2816","F","1989-08-29"
"9288","1X2813",NA,"F","1989-11-17"
"9331","1C0979",NA,"F","1989-12-04"
"9343","1X1255","1X0974","F","1989-12-09"
"9394","6704","2X0039","F","1990-01-02"
"9461","1X3012",NA,"F","1990-01-30"
"9494","1X3432","1X1672","F","1990-02-20"
"9525","1C1244",NA,"F","1990-02-11"
"9789","1X1487","1X1309","F","1990-07-27"
"9839","1X4572","1X2378","F","1990-08-17"
"9859","2X0169",NA,"F","1990-08-21"
"10073","1C0562",NA,"F","1990-12-10"
"10127","1X3327","1X3818","F","1991-01-21"
"10173","1X2124","1X1765","M","1991-02-23"
"10349","1X4195","1X1309","M","1991-07-09"
"10649","1C0121",NA,"F","1992-03-11"
"10806","1X3327","1X3818","F","1992-07-06"
"10939","1C0979",NA,"F","1992-08-20"
"11271","7150",NA,"F","1993-05-15"
"11528","8846",NA,"F","1993-10-20"
"11662",NA,NA,"F","1992-01-01"
"11817","8143",NA,"F","1994-01-15"
"11887","1C0564",NA,"M","1994-04-13"
"12390",NA,NA,"F","1988-10-16"
"12481","1X4593","1X2231","F","1995-01-16"
"12656","6625",NA,"M","1995-03-16"
"12792","1C1383",NA,"M","1995-05-25"
"13110","1X4166","1X2231","M","1996-01-21"
"13238","9859",NA,"F","1996-03-20"
"13644","8822","1X2231","M","1996-12-29"
"13698","9129","1X2816","M","1997-02-11"
"14203","1X4771","1X2231","M","1997-10-31"
"14460","9288","8653","M","1998-03-03"
"14712",NA,NA,"M","1996-03-01"
"14813",NA,NA,"F","1990-07-01"
"14991","10939",NA,"M","1998-11-01"
"15009","7017","1X3697","M","1998-11-13"
"15010","7852",NA,"M","1998-10-05"
"15057","12390",NA,"F","1998-09-01"
"15099",NA,NA,"F","1998-07-01"
"15156","7478","8780","M","1998-12-20"
"15204","10806","7937","F","1999-01-28"
"15432","9331",NA,"F","1999-04-26"
"15458","1X4686","10173","F","1999-05-11"
"15523","8826","6716","F","1999-07-05"
"15533",NA,NA,"F","1993-01-01"
"15633","10127","7937","M","1999-09-20"
"15636","8624","1X4179","F","1999-09-20"
"15655","11662","8465","F","1999-09-26"
"15706",NA,NA,"F","1995-01-01"
"15723",NA,NA,"F","1991-01-01"
"15724",NA,NA,"F","1992-01-01"
"15797","8149",NA,"M","1999-05-01"
"15846","9789","8344","F","1999-10-28"
"16027","8512","1X4777","F","2000-01-29"
"16094","1X4183","1X4209","F","2000-02-25"
"16135","9525",NA,"F","2000-02-20"
"16808","8778","10173","M","2001-01-29"
"17998","8499","8601","F","2002-03-12"
"18752","14813","12656","F","2002-11-15"
"18840","9461","10173","F","2003-01-07"
"19916","15057",NA,"F","2004-02-10"
"25347","15723",NA,"M","2004-11-14"
"25418","9343","7735","F","2004-09-24"
"26078","11528",NA,"M","2004-08-15"
"26318","15724","6609","M","2005-03-26"
"26450","10649",NA,"F","2005-01-19"
"26453","11271",NA,"F","2005-02-01"
"27609","16135","15010","F","2006-01-09"
"27612","15533","14991","F","2006-01-12"
"27647","9394","13110","M","2006-01-24"
"27849","10073","15797","F","2006-03-28"
"28114","9839","13110","F","2006-06-17"
"28279","12481","13644","M","2006-08-17"
"28729","9494","8601","M","2007-02-27"
"29220","11817","11887","F","2007-10-23"
"30624",NA,NA,"F","2005-06-21"
"31937","15204","10349","F","2012-06-23"
"32358","15523","14460","F","2013-01-04"
"32560","15458","15156","F","2013-03-22"
"32650","27849","15009","F","2013-05-11"
"32732","19916","12792","F","2013-05-27"
"32741","17998","14712","F","2013-06-05"
"32743","16027","28279","F","2013-06-05"
"32771","27612","11887","F","2013-06-19"
"32798","16094","14203","F","2013-07-24"
"33088","15655","15633","F","2014-01-14"
