"id","sire","dam","sex","gen","birth","exit","age"
"6704",NA,NA,"F",0,"1979-01-01",NA,38.7
"11662",NA,NA,"F",0,"1992-01-01",NA,25.7
"12390",NA,NA,"F",0,"1988-10-16",NA,28.9
"14712",NA,NA,"M",0,"1996-03-01",NA,21.5
"14813",NA,NA,"F",0,"1990-07-01",NA,27.2
"15099",NA,NA,"F",0,"1998-07-01",NA,19.2
"15533",NA,NA,"F",0,"1993-01-01",NA,24.7
"15706",NA,NA,"F",0,"1995-01-01",NA,22.7
"15723",NA,NA,"F",0,"1991-01-01",NA,26.7
"15724",NA,NA,"F",0,"1992-01-01",NA,25.7
"30624",NA,NA,"F",0,"2005-06-21",NA,12.2
"1_0221",NA,NA,"F",0,NA,NA,NA
"1_0251",NA,NA,"F",0,"1963-01-01",NA,54.7
"1_0431",NA,NA,"F",0,"1962-01-01",NA,55.7
"1_1979",NA,NA,"M",0,"1959-01-01",NA,58.7
"1_6156",NA,NA,"F",0,"1961-01-01",NA,56.7
"1C0031",NA,NA,"M",0,"1966-01-01",NA,51.7
"1C0059",NA,NA,"F",0,"1969-01-01",NA,48.7
"1C0067",NA,NA,"F",0,"1968-01-01",NA,49.7
"1C0076",NA,NA,"F",0,"1970-01-01",NA,47.7
"1C0121",NA,NA,"F",0,"1973-01-01",NA,44.7
"1C0143",NA,NA,"F",0,"1972-01-01",NA,45.7
"1C0249",NA,NA,"F",0,"1970-01-01",NA,47.7
"1C0271",NA,NA,"F",0,"1969-01-01",NA,48.7
"1C0321",NA,NA,"F",0,"1975-01-01",NA,42.7
"1C0323",NA,NA,"F",0,"1975-01-01",NA,42.7
"1C0383",NA,NA,"F",0,"1975-01-01",NA,42.7
"1C1244",NA,NA,"F",0,"1984-01-05",NA,33.7
"1N0199",NA,NA,"F",0,NA,NA,NA
"1N0225",NA,NA,"M",0,NA,NA,NA
"1X0035",NA,NA,"F",0,"1966-01-01",NA,51.7
"1X0098",NA,NA,"M",0,"1965-01-01",NA,52.7
"1X0102",NA,NA,"M",0,"1966-01-01",NA,51.7
"1X0110",NA,NA,"F",0,"1965-01-01",NA,52.7
"1X0113",NA,NA,"M",0,"1968-01-01",NA,49.7
"1X0153",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X0177",NA,NA,"F",0,"1965-01-01",NA,52.7
"1X0323",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X0552",NA,NA,"F",0,NA,NA,NA
"1X0576",NA,NA,"F",0,"1965-01-01",NA,52.7
"1X0580",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X0586",NA,NA,"F",0,"1969-01-01",NA,48.7
"1X0686",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X0811",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X0812",NA,NA,"F",0,"1965-01-01",NA,52.7
"1X0830",NA,NA,"F",0,"1969-01-01",NA,48.7
"1X0832",NA,NA,"M",0,"1970-01-01",NA,47.7
"1X0837",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X0839",NA,NA,"M",0,"1971-01-01",NA,46.7
"1X0842",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X0872",NA,NA,"F",0,"1969-01-01",NA,48.7
"1X0945",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X0951",NA,NA,"M",0,"1969-01-01",NA,48.7
"1X1032",NA,NA,"F",0,"1972-01-01",NA,45.7
"1X1125",NA,NA,"F",0,"1969-01-01",NA,48.7
"1X1126",NA,NA,"M",0,"1971-01-01",NA,46.7
"1X1146",NA,NA,"F",0,"1969-01-01",NA,48.7
"1X1152",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X1155",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X1181",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X1237",NA,NA,"F",0,"1971-01-01",NA,46.7
"1X1288",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X1487",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X1672",NA,NA,"M",0,"1970-01-01",NA,47.7
"1X1765",NA,NA,"M",0,"1970-01-01",NA,47.7
"1X1773",NA,NA,"M",0,"1969-01-01",NA,48.7
"1X1939",NA,NA,"M",0,"1970-01-01",NA,47.7
"1X1947",NA,NA,"M",0,"1969-01-01",NA,48.7
"1X2055",NA,NA,"F",0,"1968-01-01",NA,49.7
"1X2645",NA,NA,"F",0,"1971-01-01",NA,46.7
"1X2663",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X2664",NA,NA,"F",0,"1970-01-01",NA,47.7
"1X3052",NA,NA,"F",0,"1971-01-01",NA,46.7
"1X3162",NA,NA,"M",0,"1975-01-01",NA,42.7
"1X3469",NA,NA,"F",0,"1971-01-01",NA,46.7
"1X4384",NA,NA,"M",0,"1973-01-01",NA,44.7
"1X4572",NA,NA,"F",0,"1975-01-01",NA,42.7
"2X0039",NA,NA,"M",0,"1971-01-01",NA,46.7
"2X0169",NA,NA,"F",0,"1976-01-01",NA,41.7
"3X0023",NA,NA,"M",0,"1975-01-01",NA,42.7
"U0001",NA,NA,"M",0,NA,NA,NA
"U0002",NA,NA,"M",0,NA,NA,NA
"U0003",NA,NA,"M",0,NA,NA,NA
"U0004",NA,NA,"M",0,NA,NA,NA
"U0005",NA,NA,"M",0,NA,NA,NA
"U0006",NA,NA,"M",0,NA,NA,NA
"U0007",NA,NA,"M",0,NA,NA,NA
"U0008",NA,NA,"M",0,NA,NA,NA
"U0009",NA,NA,"M",0,NA,NA,NA
"U0010",NA,NA,"M",0,NA,NA,NA
"U0011",NA,NA,"M",0,NA,NA,NA
"U0012",NA,NA,"M",0,NA,NA,NA
"U0013",NA,NA,"M",0,NA,NA,NA
"U0014",NA,NA,"M",0,NA,NA,NA
"U0015",NA,NA,"M",0,NA,NA,NA
"U0016",NA,NA,"M",0,NA,NA,NA
"U0017",NA,NA,"M",0,NA,NA,NA
"U0018",NA,NA,"M",0,NA,NA,NA
"U0019",NA,NA,"M",0,NA,NA,NA
"U0020",NA,NA,"M",0,NA,NA,NA
"U0021",NA,NA,"M",0,NA,NA,NA
"U0022",NA,NA,"M",0,NA,NA,NA
"U0023",NA,NA,"M",0,NA,NA,NA
"U0024",NA,NA,"M",0,NA,NA,NA
"U0025",NA,NA,"M",0,NA,NA,NA
"U0026",NA,NA,"M",0,NA,NA,NA
"U0027",NA,NA,"M",0,NA,NA,NA
"U0028",NA,NA,"M",0,NA,NA,NA
"U0029",NA,NA,"M",0,NA,NA,NA
"U0030",NA,NA,"M",0,NA,NA,NA
"U0031",NA,NA,"M",0,NA,NA,NA
"U0032",NA,NA,"M",0,NA,NA,NA
"U0033",NA,NA,"M",0,NA,NA,NA
"U0034",NA,NA,"M",0,NA,NA,NA
"U0035",NA,NA,"M",0,NA,NA,NA
"U0036",NA,NA,"M",0,NA,NA,NA
"U0037",NA,NA,"M",0,NA,NA,NA
"U0038",NA,NA,"M",0,NA,NA,NA
"U0039",NA,NA,"M",0,NA,NA,NA
"U0040",NA,NA,"M",0,NA,NA,NA
"U0041",NA,NA,"M",0,NA,NA,NA
"U0042",NA,NA,"M",0,NA,NA,NA
"U0043",NA,NA,"M",0,NA,NA,NA
"6609","1X3162","1X0837","M",1,"1986-02-02",NA,31.6
"6625","U0001","1C0067","F",1,"1986-02-11",NA,31.6
"7017","1X1672","1X1237","F",1,"1986-09-22",NA,30.9
"7150","U0002","1C0323","F",1,"1986-11-11",NA,30.8
"7478","1X4384","1X0842","F",1,"1987-05-01",NA,30.3
"7735","1X1765","1X2664","M",1,"1987-10-13",NA,29.9
