Id,Sire,Sire Type,Dam,Dam Type,Sex,Number of Parents Known,Birth,Arrival At Center,Death,Departure,Status,ancestry,From Center?,Origin
396,,,35,Observed,Male,1,1979-03-04,1979-03-04,1986-08-25,,Dead,Japan,TRUE,
397,,,124,Observed,Female,1,1979-03-29,1979-03-29,,1989-07-27,Shipped,Japan,TRUE,
398,,,204,Observed,Female,1,1979-03-30,1979-03-30,,1982-04-27,Shipped,Japan,TRUE,
399,,,83,Observed,Female,1,1979-03-30,1979-03-30,1979-03-30,,Dead,Japan,TRUE,
400,,,12,Observed,Female,1,1979-04-02,1979-04-02,1979-04-02,,Dead,Japan,TRUE,
401,,,158,Observed,Female,1,1979-04-01,1979-04-01,,1982-04-27,Shipped,Japan,TRUE,
402,,,165,Observed,Female,1,1979-04-06,1979-04-06,,1982-04-27,Shipped,Japan,TRUE,
403,,,181,Observed,Female,1,1979-04-06,1979-04-06,1979-04-07,,Dead,Japan,TRUE,
404,,,159,Observed,Male,1,1979-04-12,1979-04-12,,1982-04-27,Shipped,Japan,TRUE,
405,,,152,Observed,Female,1,1979-04-15,1979-04-15,2004-08-26,,Dead,Japan,TRUE,
406,,,145,Observed,Male,1,1979-04-19,1979-04-19,1985-07-12,,Dead,Japan,TRUE,
407,,,32,Observed,Male,1,1979-04-19,1979-04-19,1986-09-08,,Dead,Japan,TRUE,
408,,,122,Observed,Male,1,1979-04-20,1979-04-20,1989-07-12,,Dead,Japan,TRUE,
409,,,127,Observed,Female,1,1979-04-20,1979-04-20,1989-07-25,,Dead,Japan,TRUE,
410,,,151,Observed,Female,1,1979-04-20,1979-04-20,,1982-04-27,Shipped,Japan,TRUE,
411,,,137,Observed,Male,1,1979-04-23,1979-04-23,,1982-04-27,Shipped,Japan,TRUE,
412,,,93,Observed,Male,1,1979-04-25,1979-04-25,,1982-04-27,Shipped,Japan,TRUE,
413,,,207,Observed,Female,1,1979-04-26,1979-04-26,,1982-04-27,Shipped,Japan,TRUE,
414,,,191,Observed,Female,1,1979-04-26,1979-04-26,1985-01-05,,Dead,Japan,TRUE,
415,,,42,Observed,Male,1,1979-04-29,1979-04-29,2002-05-31,,Dead,Japan,TRUE,
416,,,107,Observed,Male,1,1979-04-29,1979-04-29,,1982-04-27,Shipped,Japan,TRUE,
417,,,16,Observed,Female,1,1979-05-03,1979-05-03,,1982-04-27,Shipped,Japan,TRUE,
418,,,105,Observed,Male,1,1979-05-03,1979-05-03,1993-01-18,,Dead,Japan,TRUE,
419,,,84,Observed,Female,1,1979-05-03,1979-05-03,,1982-04-27,Shipped,Japan,TRUE,
