EGO ID,SIRE ID,DAM ID,SEX,BIRTH
RLh16,206M,RKi10,M,3
138_14,392_02,189_04,M,3
142_14,109_06,259_06,F,3
143_14,109_06,48_06,F,3
163_14,392_02,201_04,M,3
64_14,232_99,235_99,F,3
88_14,109_06,79_06,F,3
RAj16,85M,RAa14,M,3
RAn16,185M,RGv5,F,3
RAp16,FH21,RAk7,F,3
RAs16,25391,RYn13,M,3
RAt16,ROp10,RQq12,F,3
RAu16,25M,ROm11,F,3
RAw16,174M,RRh9,M,3
RBm16,10M,RHb9,M,3
RBn16,85M,RVh9,M,3
RBo16,10M,RJw8,M,3
RBu16,25382,RQg7,M,3
RBv16,25391,RPt14,M,3
RBw16,151MX,RLt8,M,3
RBy16,206M,RHk13,M,3
RCj16,R110M,RNn11,M,3
RCm16,RMg6,RMl11,F,3
RCp16,151MX,RRf12,F,3
RCq16,FF72,RLz12,F,3
RCs16,ROp10,RSk13,F,3
RDi16,FE36,RVb13,F,3
RDl16,25395,RGk13,M,3
RDm16,FH21,RZp12,M,3
RDs16,174M,RTa12,M,3
RDt16,174M,RHo13,F,3
RDu16,R110M,REl11,M,3
REk16,253L,RNt12,F,3
REn16,ROp10,RKi11,F,3
REp16,25382,RRu11,F,3
REr16,FF72,RBw12,M,3
REu16,FF72,RJv12,M,3
REy16,ROp10,RPy10,F,3
RFi16,25215,RMw12,F,3
RFk16,85M,ROy13,M,3
RFl16,FH21,REy12,M,3
RFm16,25403,RJe11,F,3
RFn16,R110M,ROj11,F,3
RFq16,25391,RYl10,F,3
RFr16,25403,RDs6,M,3
RFt16,FE36,RZf11,M,3
RFw16,FF72,RMy12,F,3
RGi16,151MX,RSq9,M,3
RGl16,25403,REe9,M,3
RGm16,FE58,RMp11,M,3
RGq16,ROp10,RMy10,F,3
RGr16,10M,RIo11,M,3
RGt16,174L,RWn12,M,3
RGw16,FH21,RKo11,M,3
RHk16,FE36,RJr7,M,3
RHo16,25376,RGw10,M,3
RHt16,25395,RGr6,M,3
RHu16,FE58,RMw13,M,3
