"id","dam_id","sire_id","sex","birth_date"
"16339",NA,NA,"F","1999-01-01"
"16342",NA,NA,"F","1998-07-01"
"16640",NA,NA,"F","1998-01-01"
"16645","35393",NA,"M","1998-01-01"
"16646","35394",NA,"M","1998-01-01"
"16653",NA,NA,"M","1998-01-01"
"16657","35397",NA,"M","1998-01-01"
"17517","18211",NA,"F","1985-10-11"
"17553","18194","18181","F","1988-08-02"
"17562","17517","18206","M","1990-05-29"
"17588","18276","18234","F","1991-08-23"
"17629","17588","18256","M","1997-07-23"
"18181",NA,NA,"M",NA
"18194",NA,NA,"F",NA
"18206",NA,NA,"M",NA
"18211",NA,NA,"F",NA
"18234",NA,NA,"M",NA
"18256",NA,NA,"M",NA
"18276",NA,NA,"F",NA
"18983","17553","17562","F","2003-06-15"
"28299","16339","16646","F","2006-08-30"
"31204","16342","16645","M","2011-04-22"
"31310","16640","16653","M","2011-06-14"
"31357","28299","17629","M","2011-08-02"
"32047","18983","16657","M","2012-08-15"
"33914","35621","35581","F","1999-05-27"
"33918","35490","35811","M","2000-08-11"
"33919","35613","35811","M","2000-09-10"
"33921","35708","35672","F","2001-09-28"
"33924","35886","35767","F","2002-04-20"
"33926","35719","35656","M","2002-04-29"
"33930","35805","35693","F","2002-05-25"
"33932","35599","35634","F","2002-06-17"
"33934","35536","35771","F","2002-07-13"
"33935","35800","35538","F","2002-07-20"
"33938","35895","35756","M","2002-09-17"
"33939","35830","35754","F","2003-02-12"
"33940","35755","35647","F","2003-04-17"
"33943","35856","35672","M","2003-05-18"
"33945","35808","35933","F","2003-08-31"
"33947","35817","35933","F","2004-07-29"
"33948","35561","35571","F","2005-04-28"
"33949","35782","33918","F","2005-05-07"
"33951","35752","35756","M","2005-05-15"
"33956","35593","35538","F","2008-06-12"
"33957","35875","35538","F","2008-06-12"
"33959","33945","33943","F","2008-07-21"
"33966","34277","34276","F","2013-04-15"
"33967","34275","34276","F","2013-04-16"
"33970","34264","34266","F","2013-05-16"
"33971","33945","33943","F","2013-05-18"
"33977","33957","35642","F","2013-06-08"
"33983","33959","35642","F","2013-07-02"
"33985","33949","33951","F","2013-07-06"
"33987","33956","35642","F","2013-07-17"
"33990","33914","33919","F","2013-07-28"
"33992","33932","33938","F","2013-08-06"
"33993","33924","33938","F","2013-08-11"
"33995","33930","33926","F","2013-08-24"
"33996","33948","33951","F","2013-08-29"
"34001","33921","33918","F","2013-10-16"
"34003","33940","33943","F","2013-11-02"
"34004","33939","33943","F","2013-11-07"
"34005","33947","33918","F","2013-11-10"
"34008","33934","33938","F","2013-11-30"
"34009","33935","33938","F","2013-12-02"
"34228","35823","35837","M","2003-01-07"
"34229","35592","35698","M","2003-04-13"
"34231","35492","35539","F","2003-04-25"
"34235","35563","35575","F","2003-05-26"
"34241","35752","35837","F","2003-09-12"
"34242","35556","35906","F","2006-05-01"
"34243",NA,"35873","F","2006-05-06"
"34246","35791","35771","F","2006-05-12"
"34248","35710","35809","F","2006-05-20"
"34249","35768","35539","M","2006-05-20"
"34250","35554","35693","M","2006-06-01"
"34264","35742","35843","F","2007-06-15"
"34266","35763","33919","M","2007-06-25"
"34267","34241","34229","F","2007-06-30"
"34274","35722","35933","M","2007-08-01"
"34275","35662","35934","F","2008-04-13"
"34276","35582","35906","M","2008-04-19"
"34277","35544","35673","F","2008-05-03"
"34302","34267","34274","F","2013-06-15"
"34303","34248","34249","F","2013-06-25"
"34307","34246","34250","F","2013-07-06"
"34311","34235","34228","F","2013-07-28"
"34312","34242","34249","F","2013-08-03"
"34313","34231","34229","F","2013-08-07"
"34319","35506","35620","F","2013-09-07"
"34321","34243","34250","F","2013-10-06"
"35393",NA,NA,"F",NA
"35394",NA,NA,"F",NA
"35397",NA,NA,"F",NA
"35483",NA,NA,"M",NA
"35486","35905","35820","M","1978-03-10"
"35488","35670","35726","F","1987-03-27"
"35490","35580","35523","F","1993-05-07"
"35491",NA,NA,"F",NA
"35492","35676","35617","F","1998-03-28"
"35493",NA,NA,"F",NA
"35497","35612","35723","F","1987-03-30"
"35498","35746","35617","F","1996-04-18"
"35499","35690","35652","M","1982-04-10"
"35501","35589","35587","F","1988-04-13"
"35505","35859","35872","F","1985-04-05"
"35506","35763","33919","F","2006-05-22"
"35507","35513","35486","F","1983-04-05"
"35508","35781","35936","F","1996-04-23"
"35510",NA,NA,"M",NA
"35511","35627","35912","M","1987-04-05"
"35513",NA,NA,"F",NA
"35514","35731","35691","M","1987-04-05"
"35515","35598","35723","F","1986-04-03"
"35517","35859",NA,"F","1983-04-10"
"35518","35558","35499","F","1992-04-06"
"35521","35884","35486","M","1983-04-12"
"35523","35533","35521","M","1987-04-10"
"35525",NA,NA,"F","1982-04-11"
"35529",NA,NA,"F","1982-12-17"
"35531","35913","35820","M","1976-04-23"
"35532","35551","35729","M","1984-04-27"
"35533","35649","35793","F","1983-04-22"
"35534",NA,NA,"F","1982-05-02"
"35535",NA,NA,"F","1982-01-09"
"35536","35704","35691","F","1993-04-15"
"35537","35919","35753","M","1979-04-17"
"35538","35825","35811","M","1996-05-02"
"35539","35923","35773","M","1997-05-12"
"35540",NA,NA,"F","1980-04-25"
"35541","35624","35930","F","1986-04-17"
"35542","35833","35869","F","1990-05-02"
"35544","35570","35653","F","2002-04-10"
"35545",NA,NA,"F","1980-04-04"
"35546","35540","35486","F","1987-04-22"
"35550",NA,NA,"F","1981-04-09"
"35551","35913","35820","F","1978-04-15"
"35554","35842","35668","F","2000-04-30"
"35556","35671","35575","F","2002-04-23"
"35557",NA,NA,"F","1980-03-17"
"35558","35778","35691","F","1987-04-30"
"35560",NA,NA,"F","1982-05-06"
"35561","35839","35668","F","2001-05-20"
"35563","35896","35837","F","1996-05-11"
"35565","35557",NA,"M","1985-03-23"
"35566","35864","35871","M","1986-04-27"
"35568",NA,NA,"F",NA
"35570","35842","35668","F","1996-05-12"
"35571","35508","35646","M","2001-05-21"
"35575","35915","35732","M","1996-05-16"
"35576","35696","35604","M","1984-05-13"
"35577",NA,NA,"F","1982-12-08"
"35579",NA,NA,"F",NA
"35580","35834","35871","F","1987-05-05"
"35581",NA,NA,"M",NA
"35582","35856","35672","F","2002-04-29"
"35583",NA,NA,"F","1982-08-17"
"35585",NA,NA,"F",NA
"35586",NA,NA,"F",NA
"35587","35493","35537","M","1984-05-15"
"35589","35849","35872","F","1984-05-15"
"35592","35525","35912","F","1987-05-07"
"35593","35842","35668","F","1997-05-20"
"35594",NA,NA,"F","1982-06-25"
"35597","35534","35907","F","1990-05-19"
"35598",NA,NA,"F","1982-05-30"
"35599","35515","35566","F","1990-05-19"
"35602",NA,NA,"M",NA
"35604","35903","35881","M","1979-05-13"
"35605","35577","35894","F","1992-04-26"
"35607","35657","35874","F","1990-05-21"
"35610",NA,NA,"F",NA
"35612",NA,NA,"F","1982-06-10"
"35613","35706","35691","F","1993-05-14"
"35617","35838","35793","M","1992-04-30"
"35620","35847","35771","M","2006-06-05"
"35621",NA,NA,"F",NA
"35624",NA,NA,"F","1982-05-20"
"35625",NA,NA,"F",NA
"35627",NA,NA,"F","1982-05-17"
"35629",NA,NA,"F","1982-06-12"
"35631",NA,NA,"F","1982-06-20"
"35633","35624","35869","M","1991-04-21"
"35634","35817","35668","M","1995-06-06"
"35642","35605","35687","M","2003-05-18"
"35644","35864","35871","F","1984-06-12"
"35645","35644","35691","F","1991-04-27"
"35646","35658","35617","M","1996-06-05"
"35647","35660","35617","M","1999-05-01"
"35648",NA,NA,"F",NA
"35649","35491",NA,"F","1979-05-29"
"35652","35891","35697","M","1977-05-01"
"35653","35645","35732","M","1996-06-18"
"35654","35917","35483","M","1981-06-24"
"35655",NA,NA,"F",NA
"35656","35841","35837","M","1998-05-19"
"35657","35695","35820","F","1977-04-21"
"35658","35893","35510","F","1992-05-11"
"35660","35935","35510","F","1992-05-08"
"35661","35857","35874","F","1986-06-23"
"35662","35722","35656","F","2002-05-26"
"35664","35599","35681","F","1994-06-19"
"35665",NA,NA,"F",NA
"35667","35862",NA,"F","1983-06-21"
"35668",NA,NA,"M",NA
"35670","35885","35908","F","1979-06-14"
"35671",NA,NA,"F",NA
"35672","35542","35565","M","1996-06-24"
"35673","35752","35684","M","1997-06-17"
