Id	Sire	Dam	Sex	Birth	Death	Departure
1			Male	1955-12-03	1964-09-01	
10000		5483	Male	1978-04-15	1986-01-09	
10001		6524	Female	1978-05-15	1986-11-02	
10002		7211	Male	1978-07-15	1979-12-04	
10003		6530	Female	1978-05-15	2009-02-11	
10004		6512	Female	1978-04-30	1980-01-09	
10005		6523	Female	1978-04-30	1984-12-14	
10006		6919	Female	1978-05-15		1994-09-21 00:00
10007		6939	Female	1978-04-15	1984-01-16	
10008		7006	Female	1978-05-15		1990-02-20 00:00
10009		6515	Male	1978-05-15	1981-10-14	
10010		6526	Female	1978-04-30	1990-05-15	
10011		6533	Female	1978-04-30		1990-06-13 00:00
10012		6528	Female	1978-02-28		1990-04-24 00:00
10013		5606	Female	1978-07-30		1987-04-07 00:00
10014		8006	Female	1978-05-15	1990-01-24	
10015			Male	1978-05-10	1978-08-25	
10016			Unknown	1978-05-10	1978-08-25	
10017			Unknown	1978-05-10	1978-08-25	
10018			Unknown	1978-05-10	1978-08-25	
10020		9139	Male	1978-09-04	1984-11-20	
10022	5302	6998	Male	1978-09-06		1984-04-23 00:00
10023	2816	6762	Male	1978-09-09	1978-09-09	
10024	1821	5560	Female	1978-09-12	1978-09-12	
10025	6080	8020	Female	1978-09-12	1978-09-12	
10028	7838	7724	Male	1978-09-14	1978-09-14	
10029		8944	Male	1978-09-17	1978-09-19	
10030		8968	Male	1978-09-17		1980-12-09 00:00
10031	5302	2567	Male	1978-09-20	1978-09-20	
10033	7839	6151	Male	1978-09-26	1978-09-26	
10034	1182	8441	Male	1978-09-27	1978-09-27	
10035	1703	6525	Male	1978-09-28	1978-09-28	
10036	2167	7170	Female	1978-10-01	1978-10-01	
10037	2816	9395	Male	1978-10-02	1978-10-02	
10038	1175	6748	Male	1978-10-03	1978-10-03	
10039	8108	6230	Male	1978-10-06	1979-06-20	
10040			Male	1978-10-03	1978-10-11	
10041		9153	Female	1978-10-12		1989-06-20 00:00
10042	7084	9049	Unknown	1978-10-13	1978-10-13	
10043			Male	1978-09-01	1978-10-17	
10044	1821	9393	Male	1978-10-18	1978-10-18	
10045	6927	2558	Female	1978-10-20	1978-10-20	
10046	1401	7172	Unknown	1978-10-20	1978-10-20	
10047	596	3161	Male	1978-10-20	1979-08-01	
10048		9142	Male	1978-10-22		1990-08-14 00:00
10049	1703	6229	Female	1978-10-29	1978-10-29	
10050		8984	Female	1978-10-30		1991-02-06 00:00
10051	2167	7168	Male	1978-11-01	1978-11-01	
10052	1821	6126	Male	1978-11-03	1978-11-03	
10053		9071	Female	1978-11-08		1987-02-24 00:00
10054	7839	9057	Female	1978-11-09	1978-11-09	
10055	2167	7185	Unknown	1978-11-16	1978-11-16	
10058	8108	2380	Male	1978-11-14	1978-11-14	
10059		8369	Female	1978-11-16	1978-11-16	
10060		9083	Female	1978-11-19	1999-11-30	
10062	6982	8405	Male	1978-11-21	1978-11-21	
10063		8972	Female	1978-11-23	1978-11-23	
10064		9080	Female	1978-11-26	1979-08-04	
10065		9126	Male	1978-11-28	1984-06-19	
10067	1182	1450	Male	1978-07-25		1984-04-23 00:00
10068	9387	7859	Male	1978-11-29	1978-11-29	
10069	7839	6994	Female	1978-11-29	1978-11-29	
10072		9154	Male	1978-12-01		1980-09-03 00:00
10073		9127	Male	1978-12-03	1980-03-10	
10076	6982	7916	Male	1978-12-04	1978-12-04	
10077	6080	8437	Male	1978-12-05	1978-12-05	
10078			Unknown	1978-10-01	1978-10-01	
10079		8719	Male	1978-10-01	1978-12-15	
10080		8970	Male	1978-12-17	1980-02-29	
10081		9087	Female	1978-12-19	1980-10-30	
10082	498	8412	Female	1978-12-19	1978-12-19	
10083	8108	6892	Female	1978-12-19	1978-12-19	
10085		8943	Female	1978-12-26	1980-10-30	
10086		8382	Unknown	1978-12-31	1978-12-31	
10087	498	8945	Male	1979-01-05	1979-01-05	
101			Female		1973-10-30	
10111	596	7183	Male	1979-01-10	1979-01-10	
10112	6080	8985	Female	1979-01-12	1979-01-12	
10114			Unknown	1979-01-02	1979-01-02	
10115			Unknown	1979-01-02	1979-01-02	
10116			Unknown	1979-01-02	1979-01-02	
10117			Female	1979-01-03	1979-01-03	
10118			Unknown	1979-01-11	1979-01-11	
10119			Female	1979-01-15	1979-01-15	
10120			Unknown	1979-01-15	1979-01-15	
10121			Unknown	1979-01-16	1979-01-16	
10122			Unknown	1979-01-16	1979-01-16	
10123	5302	9306	Female	1979-01-18	1979-01-18	
10124			Unknown	1979-01-22	1979-01-22	
10125			Unknown	1979-01-22	1979-01-22	
10126			Unknown	1979-01-22	1979-01-22	
10127			Unknown	1979-01-23	1979-01-23	
10129	6080	8517	Female	1979-01-25	1979-01-25	
10130	1703	9133	Male	1979-01-29	1979-01-29	
10131			Unknown	1979-01-29	1979-01-29	
10132			Male	1979-01-29	1979-01-29	
10133			Male	1979-01-29	1979-01-29	
10134	1175	6154	Male	1979-02-01	1979-02-01	
10136	5302	9150	Male	1979-02-06	1979-02-06	
10137	1175	9005	Male	1979-02-07	1979-02-07	
10139		9088	Male	1979-02-10	1979-02-10	
10140	6927	1159	Male	1979-02-11	1979-02-12	
10142	7084	9350	Male	1979-02-12	1979-02-12	
10143	596	8401	Female	1979-02-13	1979-02-13	
10144	1401	9079	Female	1979-02-13	1979-02-13	
10145			Female	1979-02-08	1979-02-08	
10146		8631	Male	1979-02-14	1979-02-14	
10147			Female	1979-02-14	1979-02-14	
10148			Female	1979-02-21	1979-02-21	
10151		8379	Female	1979-02-23	1979-02-23	
10152	1175	8397	Female	1979-02-26	1979-02-26	
10153			Male	1979-02-26	1979-02-26	
10154			Male	1979-02-26	1979-02-26	
10155			Unknown	1979-02-26	1979-02-26	
10163	7838	6232	Female	1979-03-03		1990-02-20 00:00
10165	6927	9459	Female	1979-03-05	1979-03-05	
10166			Male	1979-03-03	1979-03-03	
10168			Male	1979-03-07	1979-03-07	
10169	5302	6247	Female	1979-03-07	1979-03-07	
10171		8454	Female	1979-03-13		1990-02-20 00:00
10172			Female	1979-03-14	1979-03-14	
10173			Male	1979-03-14	1979-03-14	
10174			Unknown	1979-03-09	1979-03-09	
102			Female		1966-09-19	
10206			Female	1979-03-15	1979-03-15	
10207			Female	1979-03-15	1979-03-15	
10208	1182	9063	Female	1979-03-16	1979-03-16	
10209			Male	1979-03-16		1984-05-30 00:00
10210			Male	1979-03-16	1979-03-16	
10211	6927	2368	Female	1979-03-18	1979-03-18	
10213	1821	9300	Male	1979-03-19	1979-03-19	
10215			Male	1979-03-20	1979-03-20	
10216			Female	1979-03-20	1979-03-20	
10217	1821	1146	Female	1979-03-22	1979-03-22	
10218	1082	9305	Male	1979-03-23	1979-03-23	
10220	1182	9311	Male	1979-03-23	1979-03-23	
10224		9098	Male	1979-03-24	1979-03-24	
10225			Female	1979-03-23	1979-03-24	
10226	6927	6749	Male	1979-03-27	1979-03-27	
10234			Female	1979-03-30	1979-03-30	
10235			Female	1979-03-30	1979-03-30	
10236			Female	1979-03-30	1979-03-30	
10237			Male	1979-03-30	1979-03-30	
10240			Male	1979-03-22	1979-03-22	
10242			Female	1979-03-19	1979-04-03	
10243			Unknown	1979-04-03	1979-04-03	
10250	7084	8393	Female	1979-04-07	1993-04-16	
10256	9387	6949	Male	1979-04-12	1979-04-12	
10257	596	6745	Male	1979-04-12	1979-04-12	
10260			Male	1979-03-29	1979-03-29	
10262	1175	9349	Male	1979-04-14	1984-12-05	
10265	7838	7687	Female	1979-04-15	1979-04-15	
10266	5302	7170	Male	1979-04-18	1979-04-18	
10267	7084	8352	Unknown	1979-02-23	1979-02-23	
10268	498	8516	Unknown	1979-02-23	1979-02-23	
10271			Male	1979-04-18	1979-04-18	
10272	1401	9032	Male	1979-04-18	1980-09-23	
10273		7735	Female	1979-04-18	1979-05-18	
10277			Unknown	1979-04-13	1979-04-13	
10278			Unknown	1979-04-13	1979-04-13	
10281	7084	9059	Male	1979-04-21		1984-05-31 00:00
10288			Male	1979-04-22	1979-04-23	
10289			Female	1979-04-03	1979-04-24	
10291	596	9143	Female	1979-04-26	1979-04-26	
10292			Female	1979-04-04	1979-04-23	
10296			Unknown	1979-04-20	1979-04-20	
10297	7084	8980	Male	1979-04-29	1979-04-29	
10299			Female	1979-04-28	1979-04-28	
103			Female		1971-03-24	
10300	596	8949	Female	1979-04-30	1979-04-30	
10304	2816	9152	Unknown	1979-04-28	1979-04-28	
10315	1821	2550	Male	1979-05-02	1982-01-10	
10319			Male	1979-04-01	1979-05-01	
